,solar,solar_0,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20,solar_21,solar_22,solar_23,solar_24,solar_25,solar_26,solar_27,solar_28,solar_29
2022-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:00:00,0.002,0.0010415717714322746,0.0015274474942407275,0.0016095510898975355,0.0024998420557395284,0.002281831081706823,0.001589339394902255,0.002658787287175478,0.002706647381745275,0.002653668920131539,0.0019897556061710736,0.002973536085843676,0.0020503983175605375,0.0026010004958211615,0.0010842180939502138,0.0018348823182865771,0.0028953062161166726,0.00271286849209434,0.002641400946802439,0.0012531863230768998,0.002332947975667993,0.0020363557766134815,0.001591699391094122,0.001225883796816158,0.0019353960008198176,0.001358713952010803,0.002191208551015,0.00216342093004926,0.0011045068428238661,0.0018799079316643126,0.0024541025784812023
2023-01-01 11:00:00,0.025,0.014306880577231394,0.03351577837070162,0.013993623381791867,0.032917383031022755,0.01550284741322188,0.02989771721866696,0.03575590027053207,0.03577151240133041,0.02387946840331316,0.023628072142334863,0.029206667157809466,0.03208232272257912,0.01253248155069871,0.029750113767463907,0.01661202075339261,0.01936349235532751,0.03285960332241655,0.027037479983213753,0.033992090768932386,0.016170068450808366,0.032330743871618606,0.026917622383940593,0.02522522500024974,0.014950737571111565,0.027394987193315175,0.013521758332286447,0.016497369656837502,0.01928062824663269,0.034275306312057136,0.03488063982088415
2023-01-01 12:00:00,0.018,0.015671759343762567,0.019999411801473847,0.016981896654365253,0.018746062677924745,0.013603662777588562,0.01992169284619206,0.014448044312611251,0.015728894513215994,0.017278674346780876,0.018845453970464637,0.012011118076825426,0.0255970751730725,0.02062419648770853,0.017855508682013948,0.012016829224705101,0.026242354271385385,0.01624152253236897,0.009120542558321301,0.023037208436879095,0.019849306386741913,0.015287457110882672,0.014696726041583806,0.010255511597511738,0.02261633577300475,0.019427142894220473,0.018207984562853337,0.013969039025919821,0.010107869740116238,0.02147872429043283,0.014523561192630518
2023-01-01 13:00:00,0.024,0.028054859855241306,0.03323987257760907,0.013285356149137567,0.028638602636336864,0.021931535032239137,0.022763080210966416,0.018544724867867166,0.035967298352094716,0.01632474493637815,0.014442999787505888,0.02887341915673783,0.02665530995010481,0.017935146074673922,0.017875010971417287,0.019748655339812266,0.03114252821431504,0.03132315860523696,0.031458857619882756,0.012030235127659713,0.03469525994715412,0.015211411574362713,0.03279724438169061,0.014126117076686224,0.020992058397226912,0.014534327195721012,0.022628892021679992,0.024469213442386794,0.022859247063565905,0.028684398965278753,0.018759283021548164
2023-01-01 14:00:00,0.023,0.028945295112356217,0.018492277632597635,0.014239810948967604,0.015568826572224873,0.023867487233086567,0.03236942109413911,0.02429537868957504,0.029702439415628674,0.016475468671314393,0.034164966094473594,0.02119520321288291,0.03009859367622226,0.03396732861826943,0.0223709643322544,0.030248611765159816,0.01830452607955325,0.0343675889525624,0.02145451734081462,0.029054472571021495,0.03303596235688498,0.019095773612154,0.01984612286269507,0.02673384127774654,0.030972921933730798,0.012027387257941537,0.01921531707142165,0.015771194686398263,0.02902498302710025,0.027871570959969935,0.02955508896127896
2023-01-01 15:00:00,0.005,0.006178878917008617,0.0025716424440522107,0.006194033259962825,0.006618287448166631,0.0037252962583179733,0.005002689315457546,0.006765016792823394,0.004887430508746763,0.0060855335387751865,0.005069999207264176,0.007031184673152012,0.005533860268791838,0.004460066185641901,0.007478935697403877,0.00313319547607066,0.006517562362673878,0.003284634941846456,0.0071507771520248585,0.007017670294676526,0.0035317592831271352,0.006309583474233139,0.0037265954286041353,0.00385629550681029,0.0037974177333991253,0.0053677478063139895,0.004462299542326134,0.004908229897655457,0.007274633302731768,0.003959523769339305,0.005740215133153183
2023-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 10:00:00,0.011,0.010148587028778118,0.015929517700047684,0.010916619991985147,0.01480420902956895,0.014319914547485314,0.015671519067986493,0.01363891396418487,0.013801832174144883,0.015703061664452858,0.016439396983311347,0.00712347782269956,0.006231125445071099,0.009758592123723353,0.012080172358311051,0.013350423514967584,0.012115656682356505,0.006862838853936186,0.007934491638936166,0.008969374688445511,0.008627995370864302,0.011292398377864155,0.012465915941905084,0.0070219615569621415,0.011878265645195184,0.00924385068207948,0.006040122654260701,0.01618178301163189,0.006332550024861406,0.006717351185479616,0.01218971811736186
2023-01-02 11:00:00,0.033,0.02777560259237884,0.030760343432452337,0.02996051631398853,0.030616926264287848,0.029971516928854063,0.030656746859114997,0.04423248654834487,0.03498291401578768,0.04038770375248335,0.03269221987509233,0.021499611788207598,0.03878309812595325,0.039751982358522515,0.02513330841900296,0.030171565486444465,0.02160749576916641,0.03674542854457922,0.035562830143343514,0.03372008306050349,0.027748471634621984,0.04909522853329197,0.045730416593896754,0.02246310527863389,0.03682115199904412,0.023633458121339445,0.02755480626621565,0.04870397117877524,0.031850489099954936,0.03105231584429743,0.03536353625996901
